x,z,label,confidence
243.778276508765,226.81346249131008,park bench,0.076
243.5907442665213,226.57746517107614,park bench,0.104
243.5907442665213,226.57746517107614,oxcart,0.129
250.02139534512955,230.63951339005473,oxcart,0.08
250.02139534512955,230.63951339005473,park bench,0.146
250.76300012177063,231.6091061544094,park bench,0.167
254.15562887167005,238.38178397463747,park bench,0.292
254.15562887167005,238.38178397463747,lakeside lakeshore,0.083
254.15562887167005,238.38178397463747,West Highland white terrier,0.029
250.64280900308182,240.8530766706529,park bench,0.035
251.28809040053753,241.99632784077616,park bench,0.088
251.24205975902828,239.97365269339167,park bench,0.048
251.24205975902828,239.97365269339167,mountain bike all-terrain bike off-roader,0.031
251.24205975902828,239.97365269339167,sandbar sand bar,0.055
251.6921371418668,241.02896146563057,lakeside lakeshore,0.108
251.6921371418668,241.02896146563057,sandbar sand bar,0.07
251.6921371418668,241.02896146563057,oxcart,0.069
172.0412268266394,308.33495198953545,sandbar sand bar,0.06
172.0412268266394,308.33495198953545,park bench,0.064
173.46476703116292,312.1676820574894,park bench,0.142
173.46476703116292,312.1676820574894,lakeside lakeshore,0.05
174.63428628863673,315.6764724073251,park bench,0.063
174.63428628863673,315.6764724073251,mountain bike all-terrain bike off-roader,0.038
176.16864100076657,319.76857688814084,lakeside lakeshore,0.082
176.16864100076657,319.76857688814084,mobile home manufactured home,0.118
174.66497338297623,323.45881800795433,chainlink fence,0.123
174.66497338297623,323.45881800795433,park bench,0.084
174.66497338297623,323.45881800795433,lakeside lakeshore,0.062
175.31792655522818,327.3961883980022,park bench,0.074
175.31792655522818,327.3961883980022,patio terrace,0.084
176.5479675814208,331.32687961725884,lakeside lakeshore,0.224
177.43704089488358,334.0519807519269,lakeside lakeshore,0.189
177.43704089488358,334.0519807519269,stone wall,0.147
178.65941014749131,337.0498146394572,lakeside lakeshore,0.237
178.65941014749131,337.0498146394572,park bench,0.212
